    # Energy          Si          Ti          Cr          Fe          Ni
   -17.15872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.14872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.13872     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.12972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.11972     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.11072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.10072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.09072     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.07172     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.06272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.05272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.04272     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.03372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.02372     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.01472     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.00472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.99472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.98572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.97572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.96672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.95672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.94672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.93772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.92772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.91872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.90872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.89872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.88972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.87972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.86972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.86072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.85072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.84172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.83172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.82172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.81272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.80272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.79372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.78372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.77372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.76472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.75472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.74572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.73572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.72572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.71672     0.00000     0.00000     0.00000     0.00000     0.00000
