    # Energy          Fe          Si
   -15.61629     0.00000     0.00000
   -15.60629     0.00000     0.00000
   -15.59629     0.00000     0.00000
   -15.58729     0.00000     0.00000
   -15.57729     0.00000     0.00000
   -15.56829     0.00000     0.00000
   -15.55829     0.00000     0.00000
   -15.54829     0.00000     0.00000
   -15.53929     0.00000     0.00000
   -15.52929     0.00000     0.00000
   -15.52029     0.00000     0.00000
   -15.51029     0.00000     0.00000
   -15.50029     0.00000     0.00000
   -15.49129     0.00000     0.00000
   -15.48129     0.00000     0.00000
   -15.47229     0.00000     0.00000
   -15.46229     0.00000     0.00000
   -15.45229     0.00000     0.00000
   -15.44329     0.00000     0.00000
   -15.43329     0.00000     0.00000
   -15.42329     0.00000     0.00000
   -15.41429     0.00000     0.00000
   -15.40429     0.00000     0.00000
   -15.39529     0.00000     0.00000
   -15.38529     0.00000     0.00000
   -15.37529     0.00000     0.00000
   -15.36629     0.00000     0.00000
   -15.35629     0.00000     0.00000
   -15.34729     0.00000     0.00000
   -15.33729     0.00000     0.00000
   -15.32729     0.00000     0.00000
   -15.31829     0.00000     0.00000
   -15.30829     0.00000     0.00000
   -15.29929     0.00000     0.00000
   -15.28929     0.00000     0.00000
   -15.27929     0.00000     0.00000
   -15.27029     0.00000     0.00000
   -15.26029     0.00000     0.00000
   -15.25129     0.00000     0.00000
   -15.24129     0.00000     0.00000
   -15.23129     0.00000     0.00000
   -15.22229     0.00000     0.00000
   -15.21229     0.00000     0.00000
   -15.20329     0.00000     0.00000
   -15.19329     0.00000     0.00000
   -15.18329     0.00000     0.00000
   -15.17429     0.00000     0.00000
   -15.16429     0.00000     0.00000
   -15.15529     0.00000     0.00000
   -15.14529     0.00000     0.00000
   -15.13529     0.00000     0.00000
   -15.12629     0.00000     0.00000
   -15.11629     0.00000     0.00000
   -15.10729     0.00000     0.00000
   -15.09729     0.00000     0.00000
   -15.08729     0.00000     0.00000
   -15.07829     0.00000     0.00000
   -15.06829     0.00000     0.00000
   -15.05929     0.00000     0.00000
   -15.04929     0.00000     0.00000
   -15.03929     0.00000     0.00000
   -15.03029     0.00000     0.00000
   -15.02029     0.00000     0.00000
   -15.01129     0.00000     0.00000
   -15.00129     0.00000     0.00000
   -14.99129     0.00000     0.00000
   -14.98229     0.00000     0.00000
   -14.97229     0.00000     0.00000
   -14.96329     0.00000     0.00000
   -14.95329     0.00000     0.00000
   -14.94329     0.00000     0.00000
   -14.93429     0.00000     0.00000
   -14.92429     0.00000     0.00000
   -14.91429     0.00000     0.00000
   -14.90529     0.00000     0.00000
   -14.89529     0.00000     0.00000
   -14.88629     0.00000     0.00000
   -14.87629     0.00000     0.00000
   -14.86629     0.00000     0.00000
   -14.85729     0.00000     0.00000
   -14.84729     0.00000     0.00000
   -14.83829     0.00000     0.00000
   -14.82829     0.00000     0.00000
   -14.81829     0.00000     0.00000
   -14.80929     0.00000     0.00000
   -14.79929     0.00000     0.00000
   -14.79029     0.00000     0.00000
   -14.78029     0.00000     0.00000
   -14.77029     0.00000     0.00000
   -14.76129     0.00000     0.00000
   -14.75129     0.00000     0.00000
   -14.74229     0.00000     0.00000
   -14.73229     0.00000     0.00000
   -14.72229     0.00000     0.00000
   -14.71329     0.00000     0.00000
   -14.70329     0.00000     0.00000
   -14.69429     0.00000     0.00000
   -14.68429     0.00000     0.00000
   -14.67429     0.00000     0.00000
   -14.66529     0.00000     0.00000
   -14.65529     0.00000     0.00000
   -14.64629     0.00000     0.00000
   -14.63629     0.00000     0.00000
   -14.62629     0.00000     0.00000
   -14.61729     0.00000     0.00000
   -14.60729     0.00000     0.00000
   -14.59829     0.00000     0.00000
   -14.58829     0.00000     0.00000
   -14.57829     0.00000     0.00000
   -14.56929     0.00000     0.00000
   -14.55929     0.00000     0.00000
   -14.55029     0.00000     0.00000
   -14.54029     0.00000     0.00000
   -14.53029     0.00000     0.00000
   -14.52129     0.00000     0.00000
   -14.51129     0.00000     0.00000
   -14.50229     0.00000     0.00000
   -14.49229     0.00000     0.00000
   -14.48229     0.00000     0.00000
   -14.47329     0.00000     0.00000
   -14.46329     0.00000     0.00000
   -14.45329     0.00000     0.00000
   -14.44429     0.00000     0.00000
   -14.43429     0.00000     0.00000
   -14.42529     0.00000     0.00000
   -14.41529     0.00000     0.00000
   -14.40529     0.00000     0.00000
   -14.39629     0.00000     0.00000
   -14.38629     0.00000     0.00000
   -14.37729     0.00000     0.00000
   -14.36729     0.00000     0.00000
   -14.35729     0.00000     0.00000
   -14.34829     0.00000     0.00000
   -14.33829     0.00000     0.00000
   -14.32929     0.00000     0.00000
   -14.31929     0.00000     0.00000
   -14.30929     0.00000     0.00000
   -14.30029     0.00000     0.00000
   -14.29029     0.00000     0.00000
   -14.28129     0.00000     0.00000
   -14.27129     0.00000     0.00000
   -14.26129     0.00000     0.00000
   -14.25229     0.00000     0.00000
   -14.24229     0.00000     0.00000
   -14.23329     0.00000     0.00000
   -14.22329     0.00000     0.00000
   -14.21329     0.00000     0.00000
   -14.20429     0.00000     0.00000
   -14.19429     0.00000     0.00000
   -14.18529     0.00000     0.00000
   -14.17529     0.00000     0.00000
   -14.16529     0.00000     0.00000
   -14.15629     0.00000     0.00000
   -14.14629     0.00000     0.00000
   -14.13729     0.00000     0.00000
   -14.12729     0.00000     0.00000
   -14.11729     0.00000     0.00000
   -14.10829     0.00000     0.00000
   -14.09829     0.00000     0.00000
   -14.08929     0.00000     0.00000
   -14.07929     0.00000     0.00000
   -14.06929     0.00000     0.00000
   -14.06029     0.00000     0.00000
   -14.05029     0.00000     0.00000
   -14.04129     0.00000     0.00000
   -14.03129     0.00000     0.00000
   -14.02129     0.00000     0.00000
   -14.01229     0.00000     0.00000
   -14.00229     0.00000     0.00000
   -13.99329     0.00000     0.00000
   -13.98329     0.00000     0.00000
   -13.97329     0.00000     0.00000
   -13.96429     0.00000     0.00000
   -13.95429     0.00000     0.00000
   -13.94429     0.00000     0.00000
   -13.93529     0.00000     0.00000
   -13.92529     0.00000     0.00000
   -13.91629     0.00000     0.00000
   -13.90629     0.00000     0.00000
   -13.89629     0.00000     0.00000
   -13.88729     0.00000     0.00000
   -13.87729     0.00000     0.00000
   -13.86829     0.00000     0.00000
   -13.85829     0.00000     0.00000
   -13.84829     0.00000     0.00000
   -13.83929     0.00000     0.00000
   -13.82929     0.00000     0.00000
   -13.82029     0.00000     0.00000
   -13.81029     0.00000     0.00000
   -13.80029     0.00000     0.00000
   -13.79129     0.00000     0.00000
   -13.78129     0.00000     0.00000
   -13.77229     0.00000     0.00000
   -13.76229     0.00000     0.00000
   -13.75229     0.00000     0.00000
   -13.74329     0.00000     0.00000
   -13.73329     0.00000     0.00000
   -13.72429     0.00000     0.00000
   -13.71429     0.00000     0.00000
   -13.70429     0.00000     0.00000
   -13.69529     0.00000     0.00000
   -13.68529     0.00000     0.00000
   -13.67629     0.00000     0.00000
   -13.66629     0.00000     0.00000
   -13.65629     0.00000     0.00000
   -13.64729     0.00000     0.00000
   -13.63729     0.00000     0.00000
   -13.62829     0.00000     0.00000
   -13.61829     0.00000     0.00000
   -13.60829     0.00000     0.00000
   -13.59929     0.00000     0.00000
   -13.58929     0.00000     0.00000
   -13.58029     0.00000     0.00000
   -13.57029     0.00000     0.00000
   -13.56029     0.00000     0.00000
   -13.55129     0.00000     0.00000
   -13.54129     0.00000     0.00000
   -13.53229     0.00000     0.00000
   -13.52229     0.00000     0.00000
   -13.51229     0.00000     0.00000
   -13.50329     0.00000     0.00000
   -13.49329     0.00000     0.00000
   -13.48429     0.00000     0.00000
   -13.47429     0.00000     0.00000
   -13.46429     0.00000     0.00000
   -13.45529     0.00000     0.00000
   -13.44529    -0.00013    -0.00034
   -13.43529    -0.00086    -0.00228
   -13.42629    -0.00223    -0.00594
   -13.41629    -0.00426    -0.01133
   -13.40729    -0.00693    -0.01844
   -13.39729    -0.01025    -0.02727
   -13.38729    -0.01422    -0.03784
   -13.37829    -0.01883    -0.05011
   -13.36829    -0.02410    -0.06411
   -13.35929    -0.03001    -0.07984
