    # Energy          Si          Ti          Cr          Mn          Fe
   -17.31304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.30404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.29404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.28404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.27504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.26504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.25604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.24604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.23604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.22704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.21704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.20804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.19804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.18804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.17904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.16904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.16004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.15004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.14004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.13104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.12104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.11204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.10204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.09204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.07304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.06404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.05404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.04404     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.03504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.02504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.01604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.00604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.99604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.98704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.97704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.96804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.95804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.94804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.93904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.92904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.92004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.91004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.90004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.89104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.88104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.87204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.86204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.85204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.84304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.83304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.82304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.81404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.80404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.79504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.78504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.77504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.76604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.75604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.74704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.73704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.72704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.71804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.70804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.69904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.68904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.67904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.67004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.66004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.65104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.64104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.63104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.62204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.61204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.60304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.59304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.58304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.57404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.56404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.55504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.54504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.53504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.52604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.51604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.50704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.49704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.48704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.47804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.46804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.45904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.44904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.43904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.43004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.42004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.41104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.40104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.39104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.38204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.37204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.36304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.35304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.34304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.33404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.32404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.31404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.30504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.29504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.28604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.27604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.26604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.25704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.24704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.23804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.22804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.21804     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.20904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.19904     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.19004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.18004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.17004     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.16104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.15104     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.14204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.13204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.12204     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.11304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.10304     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.09404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.08404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.07404     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.06504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.05504     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.04604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.03604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.02604     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.01704     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.00704     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.99804     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.98804     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.97804     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.96904     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.95904     0.00000     0.00000     0.00000     0.00000     0.00000
